tax_delinquency,cartodb_id,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,bbl,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,standard_address
,3453867,36005017500,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2024340088,,252000,NYC HOUSING AUTHORITY,16,1912,1,335 East 166 Street
,3453871,36005017500,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2024280012,,382500,NYC HOUSING AUTHORITY,18,1920,1,1068 Teller Avenue
,3453874,36005017500,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2024280001,1,443250,355 EAST 165TH STREE,20,2005,1,355 East 165 Street
,3453880,36005017300,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2024230020,1,678600,MORRIS AVENUE ASSOCIA,58,1920,3,275 Bonner Place
,3453916,36085000600,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5028320017,,2022300,ST JOHN'S CHURCH,84,1999,1,1331 Bay Street
,3454152,36005014100,Morrisania/Belmont,City Council District 17,BX 03 - Morrisania/Crotona,Bronx,New York City,2023650026,,325350,MRC MELROSE HOUSING D,20,1920,2,873 Brook Avenue
,3454159,36005014100,Morrisania/Belmont,City Council District 17,BX 03 - Morrisania/Crotona,Bronx,New York City,2023810051,,288900,"MELROSE CLUSTER, L.P.",31,1910,1,462 East 160 Street
,3454162,36005006900,Mott Haven/Hunts Point,City Council District 17,BX 01 - Mott Haven/Melrose,Bronx,New York City,2024040022,,113344,BRONX 773 MELROSE AVE,8,1918,1,773 Melrose Avenue
,3454179,36005006700,Mott Haven/Hunts Point,City Council District 17,BX 01 - Mott Haven/Melrose,Bronx,New York City,2023980022,,835650,152 MELROSE ASSOCIATE,76,1920,2,398 East 152 Street
,3454209,36005007100,Mott Haven/Hunts Point,City Council District 17,BX 01 - Mott Haven/Melrose,Bronx,New York City,2023600070,1,561150,530 EAST 159 STREET,44,1928,1,530 East 159 Street
,3454219,36005006900,Mott Haven/Hunts Point,City Council District 17,BX 01 - Mott Haven/Melrose,Bronx,New York City,2024047501,1,4108050,EL JARDIN DE SELINE H,84,2008,1,390 East 158 Street
,3454220,36005006900,Mott Haven/Hunts Point,City Council District 17,BX 01 - Mott Haven/Melrose,Bronx,New York City,2023787501,1,1926900,,58,2007,1,3055 3 Avenue
,3454226,36005007500,Mott Haven/Hunts Point,City Council District 17,BX 01 - Mott Haven/Melrose,Bronx,New York City,2026180047,1,2300400,PARTNERSHIP ST. ANN'S,80,2012,1,759 Eagle Avenue
,3454229,36005006900,Mott Haven/Hunts Point,City Council District 17,BX 01 - Mott Haven/Melrose,Bronx,New York City,2023800051,,988200,LA PUERTA DE VITALIDA,61,2000,1,3103 3 Avenue
,3454230,36005014100,Morrisania/Belmont,City Council District 17,BX 03 - Morrisania/Crotona,Bronx,New York City,2023660037,1,5930100,NYC HOUSING DEVELOPME,80,2008,1,507 East 161 Street
